name,category,date,value
Indonesia,IDN,1982-01-01,0.04
Indonesia,IDN,1983-01-01,0.05
Indonesia,IDN,1984-01-01,0.02
Indonesia,IDN,1985-01-01,0.03
Indonesia,IDN,1986-01-01,0.03
Indonesia,IDN,1987-01-01,0.03
Indonesia,IDN,1988-01-01,0.03
Indonesia,IDN,1989-01-01,0.04
Indonesia,IDN,1990-01-01,0.04
Indonesia,IDN,1991-01-01,0.04
Indonesia,IDN,1992-01-01,0.03
Indonesia,IDN,1993-01-01,0.05
Indonesia,IDN,1994-01-01,0.03
Indonesia,IDN,1995-01-01,0.06
Indonesia,IDN,1996-01-01,0.06
Indonesia,IDN,1997-01-01,0.05
Indonesia,IDN,1998-01-01,0.05
Indonesia,IDN,1999-01-01,0.04
Indonesia,IDN,2000-01-01,5.998
Indonesia,IDN,2001-01-01,5.652
Indonesia,IDN,2002-01-01,5.021
Indonesia,IDN,2003-01-01,4.639
Indonesia,IDN,2004-01-01,5.056
Indonesia,IDN,2005-01-01,5.486
Indonesia,IDN,2006-01-01,5.688
Indonesia,IDN,2007-01-01,551
Indonesia,IDN,2008-01-01,6.239
Indonesia,IDN,2009-01-01,636
Indonesia,IDN,2010-01-01,0.06
Indonesia,IDN,2011-01-01,0.06
Indonesia,IDN,2012-01-01,0.06
Indonesia,IDN,2013-01-01,0.07
Indonesia,IDN,2014-01-01,0.07
Indonesia,IDN,2015-01-01,0.06
Indonesia,IDN,2016-01-01,0.07
Indonesia,IDN,2017-01-01,0.06
Indonesia,IDN,2018-01-01,0.06
Indonesia,IDN,2019-01-01,0.06
Laos,LAO,1961-01-01,0.08
Laos,LAO,1962-01-01,0.09
Laos,LAO,1963-01-01,0.05
Laos,LAO,1964-01-01,0.04
Laos,LAO,1965-01-01,0.05
Laos,LAO,1966-01-01,0.04
Laos,LAO,1967-01-01,0.04
Laos,LAO,1968-01-01,0.06
Laos,LAO,1969-01-01,0.11
Laos,LAO,1970-01-01,0.13
Laos,LAO,1971-01-01,0.03
Laos,LAO,1972-01-01,0.05
Laos,LAO,1973-01-01,0.04
Laos,LAO,1974-01-01,0
Laos,LAO,1975-01-01,0
Laos,LAO,1976-01-01,0
Laos,LAO,1977-01-01,0
Laos,LAO,1978-01-01,0
Laos,LAO,1979-01-01,0
Laos,LAO,1980-01-01,0
Laos,LAO,1981-01-01,0
Laos,LAO,1982-01-01,0
Laos,LAO,1983-01-01,0
Laos,LAO,1984-01-01,0
Laos,LAO,1985-01-01,0
Laos,LAO,1986-01-01,0
Laos,LAO,1987-01-01,0.01
Laos,LAO,1988-01-01,0.01
Laos,LAO,1989-01-01,1.33
Laos,LAO,1990-01-01,0.12
Laos,LAO,1991-01-01,0.21
Laos,LAO,1992-01-01,0.21
Laos,LAO,1993-01-01,0.26
Laos,LAO,1994-01-01,0.28
Laos,LAO,1995-01-01,0.37
Laos,LAO,1996-01-01,0.47
Laos,LAO,1997-01-01,0.67
Laos,LAO,1998-01-01,0.76
Laos,LAO,1999-01-01,0.74
Laos,LAO,2000-01-01,84.994
Laos,LAO,2001-01-01,93.996
Laos,LAO,2002-01-01,101.934
Laos,LAO,2003-01-01,111.544
Laos,LAO,2004-01-01,122.543
Laos,LAO,2005-01-01,140.825
Laos,LAO,2006-01-01,149.479
Laos,LAO,2007-01-01,175.085
Laos,LAO,2008-01-01,203.875
Laos,LAO,2009-01-01,217.726
Laos,LAO,2010-01-01,2.44
Laos,LAO,2011-01-01,2.62
Laos,LAO,2012-01-01,2.83
Laos,LAO,2013-01-01,2.84
Laos,LAO,2014-01-01,2.84
Laos,LAO,2015-01-01,3.01
Laos,LAO,2016-01-01,3.34
Laos,LAO,2017-01-01,3.53
Laos,LAO,2018-01-01,3.62
Laos,LAO,2019-01-01,3.62
Malaysia,MYS,1961-01-01,0.4
Malaysia,MYS,1962-01-01,0.34
Malaysia,MYS,1963-01-01,0.31
Malaysia,MYS,1964-01-01,0.29
Malaysia,MYS,1965-01-01,0.34
Malaysia,MYS,1966-01-01,0.34
Malaysia,MYS,1967-01-01,0.32
Malaysia,MYS,1968-01-01,0.31
Malaysia,MYS,1969-01-01,0.3
Malaysia,MYS,1970-01-01,0.27
Malaysia,MYS,1971-01-01,0.27
Malaysia,MYS,1972-01-01,0.25
Malaysia,MYS,1973-01-01,0.33
Malaysia,MYS,1974-01-01,0.4
Malaysia,MYS,1975-01-01,0.36
Malaysia,MYS,1976-01-01,0.4
Malaysia,MYS,1977-01-01,0.41
Malaysia,MYS,1978-01-01,0.47
Malaysia,MYS,1979-01-01,0.55
Malaysia,MYS,1980-01-01,0.61
Malaysia,MYS,1981-01-01,0.58
Malaysia,MYS,1982-01-01,0.62
Malaysia,MYS,1983-01-01,0.49
Malaysia,MYS,1984-01-01,0.5
Malaysia,MYS,1985-01-01,0.51
Malaysia,MYS,1986-01-01,0.47
Malaysia,MYS,1987-01-01,0.45
Malaysia,MYS,1988-01-01,0.48
Malaysia,MYS,1989-01-01,0.52
Malaysia,MYS,1990-01-01,0.6
Malaysia,MYS,1991-01-01,0.57
Malaysia,MYS,1992-01-01,0.7
Malaysia,MYS,1993-01-01,0.7
Malaysia,MYS,1994-01-01,0.72
Malaysia,MYS,1995-01-01,0.74
Malaysia,MYS,1996-01-01,0.74
Malaysia,MYS,1997-01-01,0.81
Malaysia,MYS,1998-01-01,0.85
Malaysia,MYS,1999-01-01,0.85
Malaysia,MYS,2000-01-01,44.998
Malaysia,MYS,2001-01-01,41.799
Malaysia,MYS,2002-01-01,41.248
Malaysia,MYS,2003-01-01,40.926
Malaysia,MYS,2004-01-01,40.988
Malaysia,MYS,2005-01-01,37.979
Malaysia,MYS,2006-01-01,34.408
Malaysia,MYS,2007-01-01,34.341
Malaysia,MYS,2008-01-01,3.785
Malaysia,MYS,2009-01-01,37.267
Malaysia,MYS,2010-01-01,0.38
Malaysia,MYS,2011-01-01,0.39
Malaysia,MYS,2012-01-01,0.41
Malaysia,MYS,2013-01-01,0.4
Malaysia,MYS,2014-01-01,0.4
Malaysia,MYS,2015-01-01,0.4
Malaysia,MYS,2016-01-01,0.45
Malaysia,MYS,2017-01-01,0.48
Malaysia,MYS,2018-01-01,0.48
Malaysia,MYS,2019-01-01,0.48
Myanmar,MMR,1961-01-01,0.01
Myanmar,MMR,1962-01-01,0.01
Myanmar,MMR,1963-01-01,0.01
Myanmar,MMR,1964-01-01,0.01
Myanmar,MMR,1965-01-01,0.01
Myanmar,MMR,1966-01-01,0.01
Myanmar,MMR,1967-01-01,0.01
Myanmar,MMR,1968-01-01,0.01
Myanmar,MMR,1969-01-01,0.01
Myanmar,MMR,1970-01-01,0.01
Myanmar,MMR,1971-01-01,0.01
Myanmar,MMR,1972-01-01,0.01
Myanmar,MMR,1973-01-01,0.01
Myanmar,MMR,1974-01-01,0.01
Myanmar,MMR,1975-01-01,0.01
Myanmar,MMR,1976-01-01,0.01
Myanmar,MMR,1977-01-01,0.01
Myanmar,MMR,1978-01-01,0.01
Myanmar,MMR,1979-01-01,0.01
Myanmar,MMR,1980-01-01,0.01
Myanmar,MMR,1981-01-01,0.01
Myanmar,MMR,1982-01-01,0.01
Myanmar,MMR,1983-01-01,0.01
Myanmar,MMR,1984-01-01,0.01
Myanmar,MMR,1985-01-01,0.01
Myanmar,MMR,1986-01-01,0.01
Myanmar,MMR,1987-01-01,0
Myanmar,MMR,1988-01-01,0.01
Myanmar,MMR,1989-01-01,0.02
Myanmar,MMR,1990-01-01,0.01
Myanmar,MMR,1991-01-01,0.01
Myanmar,MMR,1992-01-01,0.01
Myanmar,MMR,1993-01-01,0.02
Myanmar,MMR,1994-01-01,0.03
Myanmar,MMR,1995-01-01,0.05
Myanmar,MMR,1996-01-01,0.04
Myanmar,MMR,1997-01-01,0.03
Myanmar,MMR,1998-01-01,0.03
Myanmar,MMR,1999-01-01,0.03
Myanmar,MMR,2000-01-01,10.454
Myanmar,MMR,2001-01-01,10.995
Myanmar,MMR,2002-01-01,12.568
Myanmar,MMR,2003-01-01,13.011
Myanmar,MMR,2004-01-01,135
Myanmar,MMR,2005-01-01,12.987
Myanmar,MMR,2006-01-01,12.323
Myanmar,MMR,2007-01-01,12.402
Myanmar,MMR,2008-01-01,12.985
Myanmar,MMR,2009-01-01,14.183
Myanmar,MMR,2010-01-01,0.15
Myanmar,MMR,2011-01-01,0.17
Myanmar,MMR,2012-01-01,0.24
Myanmar,MMR,2013-01-01,0.28
Myanmar,MMR,2014-01-01,0.32
Myanmar,MMR,2015-01-01,0.37
Myanmar,MMR,2016-01-01,0.42
Myanmar,MMR,2017-01-01,0.46
Myanmar,MMR,2018-01-01,0.5
Myanmar,MMR,2019-01-01,0.5
Philippines,PHL,1961-01-01,0.35
Philippines,PHL,1962-01-01,0.43
Philippines,PHL,1963-01-01,0.64
Philippines,PHL,1964-01-01,0.62
Philippines,PHL,1965-01-01,0.64
Philippines,PHL,1966-01-01,0.55
Philippines,PHL,1967-01-01,0.7
Philippines,PHL,1968-01-01,0.81
Philippines,PHL,1969-01-01,0.69
Philippines,PHL,1970-01-01,0.78
Philippines,PHL,1971-01-01,0.81
Philippines,PHL,1972-01-01,0.8
Philippines,PHL,1973-01-01,0.73
Philippines,PHL,1974-01-01,0.94
Philippines,PHL,1975-01-01,0.95
Philippines,PHL,1976-01-01,1.11
Philippines,PHL,1977-01-01,1.16
Philippines,PHL,1978-01-01,3.26
Philippines,PHL,1979-01-01,1.26
Philippines,PHL,1980-01-01,0.86
Philippines,PHL,1981-01-01,0.82
Philippines,PHL,1982-01-01,1.08
Philippines,PHL,1983-01-01,1.39
Philippines,PHL,1984-01-01,1.32
Philippines,PHL,1985-01-01,1.62
Philippines,PHL,1986-01-01,1.21
Philippines,PHL,1987-01-01,1.58
Philippines,PHL,1988-01-01,1.04
Philippines,PHL,1989-01-01,0.98
Philippines,PHL,1990-01-01,1
Philippines,PHL,1991-01-01,0.9
Philippines,PHL,1992-01-01,0.9
Philippines,PHL,1993-01-01,0.84
Philippines,PHL,1994-01-01,0.8
Philippines,PHL,1995-01-01,0.87
Philippines,PHL,1996-01-01,0.86
Philippines,PHL,1997-01-01,0.86
Philippines,PHL,1998-01-01,0.85
Philippines,PHL,1999-01-01,0.85
Philippines,PHL,2000-01-01,117.855
Philippines,PHL,2001-01-01,1.1159
Philippines,PHL,2002-01-01,110.397
Philippines,PHL,2003-01-01,119.947
Philippines,PHL,2004-01-01,134.958
Philippines,PHL,2005-01-01,128.721
Philippines,PHL,2006-01-01,113.639
Philippines,PHL,2007-01-01,118.498
Philippines,PHL,2008-01-01,121.871
Philippines,PHL,2009-01-01,1.2094
Philippines,PHL,2010-01-01,1.29
Philippines,PHL,2011-01-01,1.28
Philippines,PHL,2012-01-01,1.25
Philippines,PHL,2013-01-01,1.09
Philippines,PHL,2014-01-01,1.1
Philippines,PHL,2015-01-01,1.11
Philippines,PHL,2016-01-01,1.23
Philippines,PHL,2017-01-01,1.38
Philippines,PHL,2018-01-01,1.47
Philippines,PHL,2019-01-01,1.47
Singapore,SGP,1961-01-01,1.51
Singapore,SGP,1962-01-01,1
Singapore,SGP,1963-01-01,1.16
Singapore,SGP,1964-01-01,1.09
Singapore,SGP,1965-01-01,1.18
Singapore,SGP,1966-01-01,1.28
Singapore,SGP,1967-01-01,1.35
Singapore,SGP,1968-01-01,1.3
Singapore,SGP,1969-01-01,1.27
Singapore,SGP,1970-01-01,1.41
Singapore,SGP,1971-01-01,1.49
Singapore,SGP,1972-01-01,1.33
Singapore,SGP,1973-01-01,1.42
Singapore,SGP,1974-01-01,1.38
Singapore,SGP,1975-01-01,1.34
Singapore,SGP,1976-01-01,1.33
Singapore,SGP,1977-01-01,1.21
Singapore,SGP,1978-01-01,1.12
Singapore,SGP,1979-01-01,1.02
Singapore,SGP,1980-01-01,1.07
Singapore,SGP,1981-01-01,1.05
Singapore,SGP,1982-01-01,1.07
Singapore,SGP,1983-01-01,1.05
Singapore,SGP,1984-01-01,1.02
Singapore,SGP,1985-01-01,1.01
Singapore,SGP,1986-01-01,0.98
Singapore,SGP,1987-01-01,0.97
Singapore,SGP,1988-01-01,0.98
Singapore,SGP,1989-01-01,0.97
Singapore,SGP,1990-01-01,0.97
Singapore,SGP,1991-01-01,1.12
Singapore,SGP,1992-01-01,1.21
Singapore,SGP,1993-01-01,1.18
Singapore,SGP,1994-01-01,1.24
Singapore,SGP,1995-01-01,1.26
Singapore,SGP,1996-01-01,1.25
Singapore,SGP,1997-01-01,1.33
Singapore,SGP,1998-01-01,1.32
Singapore,SGP,1999-01-01,1.3
Singapore,SGP,2000-01-01,1.29
Singapore,SGP,2001-01-01,1.34
Singapore,SGP,2002-01-01,1.47
Singapore,SGP,2003-01-01,106.214
Singapore,SGP,2004-01-01,107.371
Singapore,SGP,2005-01-01,109.821
Singapore,SGP,2006-01-01,113.767
Singapore,SGP,2007-01-01,113.294
Singapore,SGP,2008-01-01,121.892
Singapore,SGP,2009-01-01,122.072
Singapore,SGP,2010-01-01,1.29
Singapore,SGP,2011-01-01,1.31
Singapore,SGP,2012-01-01,1.35
Singapore,SGP,2013-01-01,1.24
Singapore,SGP,2014-01-01,1.29
Singapore,SGP,2015-01-01,1.27
Singapore,SGP,2016-01-01,1.28
Singapore,SGP,2017-01-01,1.25
Singapore,SGP,2018-01-01,1.25
Singapore,SGP,2019-01-01,1.26
Thailand,THA,1961-01-01,0.02
